Name, RA ,Dec ,Type,Date ,Dist
SNR G327.1-01.1,238.6541666666667,-55.090833333333336,PWN,2012.01,9 kpc
PG 1553+113,238.93625,11.194722222222222,HBL,2006.03,z = null
HESS J1614-518,243.58,-51.82,Shell,2005.03,
HESS J1616-508,244.1,-50.9,PWN,2005.03,6.5 kpc
Cloud 877,245.48833333333334,-50.270805555555555,Giant Molecular Cloud,2021.07,3.4 kpc
HESS J1626-490,246.51666666666668,-49.08694444444445,UNID,2007.07,
HESS J1632-478,248.04000000000002,-47.82,PWN,2006.01,
HESS J1634-472,248.73999999999998,-47.269999999999996,UNID,2006.01,8.6 kpc
HESS J1640-465,250.15833333333336,-46.573055555555555,Composite SNR,2005.03,8.6 kpc
HESS J1641-463,250.25875000000002,-46.30361111111111,UNID,2012.10,
Westerlund 1,251.70833333333331,-45.82,Massive Star Cluster,2009.06,3.2 kpc
Markarian 501,253.46750000000003,39.76027777777778,HBL,1996.01,z = 0.034
HESS J1702-420,255.68333333333334,-42.01583333333333,UNID,2006.01,
HESS J1708-443,257.04583333333335,-44.333333333333336,PWN,2009.07,2.3 kpc
HESS J1708-410,257.1,-41.09,UNID,2006.01,
PSR B1706-44,257.4275833333333,-44.484944444444444,PSR,2019.07,2.3 kpc
RX J1713.7-3946,258.39,-39.76,Shell,2000.02,1 kpc
CTB 37B,258.48999999999995,-38.2,Shell,2006.01,13.2 kpc
CTB 37A,258.5625,-38.524166666666666,SNR/Molec. Cloud,2008.11,7.9 kpc
SNR G349.7+00.2,259.4908333333334,-37.44433333333333,SNR/Molec. Cloud,2013.07,11.5 kpc
HESS J1718-385,259.5291666666667,-38.55,PWN,2007.09,4.2 kpc
H 1722+119,261.2679166666667,11.870833333333334,HBL,2013.05,
1ES 1727+502,262.0775,50.21944444444445,HBL,2011.11,z = 0.055
HESS J1729-345,262.39583333333337,-34.53944444444444,UNID,2011.05,3.2 kpc
HESS J1731-347,263.0125,-34.755,Shell,2007.07,3.2 kpc
HESS J1741-302,265.31416666666667,-30.377055555555557,UNID,2008.07,
1ES 1741+196,266.005,19.54638888888889,HBL,2011.08,z = 0.084
HESS J1745-303,266.25875,-30.370555555555555,SNR/Molec. Cloud,2006.01,
Galactic Centre Ridge,266.41499999999996,-29.00611111111111,UNID,2006.02,8.5 kpc
Galactic Centre,266.41499999999996,-29.00611111111111,UNID,2004.05,8.5 kpc
HESS J1746-308,266.571375,-30.841117999999998,UNID,2018.04,
VER J1746-289,266.582125,-28.96622222222222,UNID,2015.07,
HESS J1746-285,266.5994166666666,-28.875944444444446,UNID,2015.07,
MAGIC J1746.4-2853,266.60416666666663,-28.881944444444446,UNID,2016.11,
SNR G000.9+00.1,266.8466666666667,-28.151666666666664,PWN,2005.03,8.5 kpc
Terzan 5,266.9541666666667,-24.808333333333334,Globular Cluster,2011.07,5.9 kpc
RS Ophiuchi,267.55483333333336,-6.707911111111112,Nova,2021.08,4.2 kpc
OT 081,267.88675,9.650202777777778,LBL,2016.07,z = 0.322
HESS J1800-240B,270.10999999999996,-24.039,SNR/Molec. Cloud,2008.04,2 kpc
W 28,270.4258333333333,-23.334999999999997,SNR/Molec. Cloud,2008.04,2 kpc
